StaticId;Name;Not identified name;Notes
# 0;;;
1;Простой длинный меч;Длинный меч;Этот длинный меч, зазубренный и неровный, - все еще эффективное оружие.
2;Сабля Эльфов;Сабля;Обычное оружие эльфов, эта сабля - штука смертоносная, хотя и не примечательная. 
3;Острый длинный меч;Длинный меч;Хотя этот длинный меч выглядит совсем старым, край его лезвия необычайно острый.  Вполне вероятно, он был заколдован и остается таким в течение всего своего существования.
4;Грациозный меч;Длинный меч;Длинный меч высокого качества, имеет монограмму около основания клинка, которая указывает, что он был выкован мастером оружейником Мекориком Слепым около 780-800 гг.
5;Клинок дуэлянта;Длинный меч;Эти редкие клинки изготавливалсь когда-то до Забвения и использовались благородными дуэлянтами, которые хотели бы умереть красиво и остаться в веках.  Среди них нет двух похожих, но за всеми стоят кровавые события.
6;Двуручный меч;Двуручный меч;Этот простой двуручный меч с покрытой кожей рукояткой - типичная форма оружия в Эрафии.
7;Великий меч;Двуручный меч;Эффективный смертоносный меч, применяемый в менее дисциплинированных армиях.  Кузнец этого двуручного меча предусмотрительно добавил бороздку для стока крови вниз от центра лезвия.
8;Героический меч;Двуручный меч;Некоторые мастера мечники считают, что искривленные лезвия немного сильнее, чем прямые и наносят больший урон противнику.  Правда это или не правда, но одно определенно: этот меч сделан с самым превосходным умением.
9;Палаш;Палаш;Вороненый палаш широко используется во всех армиях Эрафии.
10;Стальной палаш;Палаш;Прекрасный эрафийский стальной палаш превосходного качества и заточки.
11;Меч Чемпиона;Палаш;Это чудесное оружие больше напоминает короткую широкую кривую саблю, чем палаш, и сохраняет остроту несмотря на возраст.
12;Тесак;Тесак;Стреловидная форма тесака вынуждает противника недооценивать истинную длину оружия.  Многие неопытные мечники лишились жизни из-за этой обманчивой формы.
13;Тесак Гоблинов;Тесак;Странная смесь латуни и какого-то другого красноватого металла придает этому оружию странный цвет и необычайную силу.  Гоблины обычно не заботятся о внешнем виде оружия, но когда доходит до убийства, на них можно положиться.  
14;Регнанский Тесак;Тесак;Хитроумно замаскированные у рукояти инициалы свидетельствуют о том, что это прекрасное оружие изготовлено Алеком Тейлингом, главным кузнецом Харека IX, Повелителя Регны и Императора Бескрайнего океана.
15;Кинжал;Кинжал;Простой кинжал, встречающийся повсюду в руках воров и головорезов.
16;Кинжал Гномов;Кинжал;Этот кинжал, который в руках гнома больше похож на короткий меч, является превосходным примером присущих гномам высочайших инженерных и творческих качеств.
17;Кинжал Зуб Акулы;Кинжал;Лезвие этого кинжала - действительно акулий зуб, взятый в водах Спокойного Океана и вставленный в затейливую рукоятку.  Он очень острый и легкий.
18;Кинжал Убийцы;Кинжал;Гарда у этого кинжала складная, что облегчает его маскировку.  Пружина в рукоятке выталкивает гарду очень тихо, когда кинжал вынимается из ножен.
19;Кинжал мага;Кинжал;Это оружие из Времени Чудес, такого острого и прочного края лезвия больше не добиться.
20;Длинный кинжал;Длинный кинжал;Длинный кинжал сочетает в себе увеличенный радиус поражения меча и легкость укрытия кинжала.
21;Эрафийский длинный кинжал;Длинный кинжал;Больше напоминает короткий меч, чем кинжал. Узкий клинок имеет необычайную прочность. Возможно, лезвие заколдовано.
22;Изысканный длинный кинжал;Длинный кинжал;Строгая, но привлекательная конструкция этого длинного кинжала типична для артефактов из времени до-Забвения.  В частности, этот стиль был очень полулярен в то время, но с тех пор прошло более тысячи лет, мало что остапось.  Подобно всему другому из времени Забвения, он выглядит таким же новым, как в день своего создания.
23;Простой топор;Топор;Этот примитивный топор больше похож на простой инструмент, чем на оружие.
24;Боевой топор;Топор;Топор с расширяющимся лезвием. Обычная конструкция, используемая низкобюджетными армиями людей и бандитами. 
25;Топор гномов;Топор;Типичный продукт производства гномов:  дешево, надежно и практично.
